City Name,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness%,Wind MPH
Wolfsburg,DE,52.43,10.8,64.54,71,100,1.99
Harper,LR,4.38,-7.72,75.07,81,73,8.28
Antofagasta,CL,-23.65,-70.4,55.4,82,20,6.93
Henderson,US,36.04,-114.98,104.86,10,1,11.41
Taoudenni,ML,22.68,-3.98,98.42,9,0,7.65
Nantucket,US,41.28,-70.1,75.56,88,1,12.75
Along,IN,28.17,94.77,73.13,89,100,0.69
Ordynskoye,RU,54.37,81.9,53.51,91,85,2.57
Rock Sound,BS,24.9,-76.2,81.99,79,0,10.25
Jalu,LY,29.03,21.55,81.46,41,0,17.45
Verkhotur'ye,RU,58.86,60.81,50.67,83,0,1.92
Orcopampa,PE,-15.27,-72.34,47.71,39,0,5.84
Davila,PH,18.47,120.58,77,94,20,2.24
Leningradskiy,RU,69.38,178.42,37.4,79,97,10.02
Karratha,AU,-20.74,116.85,63.03,31,88,12.77
Perry,US,37.25,-83.2,86.88,58,1,6.17
Liepāja,LV,56.54,21.04,55.4,93,90,3
Chanute,US,37.68,-95.46,83.64,66,90,1.05
Mount Gambier,AU,-37.83,140.77,37.4,100,39,4.7
Masallātah,LY,32.62,14,72.03,83,0,5.08
Pisco,PE,-13.7,-76.22,60.89,77,4,17.22
Bowen,AU,-20.02,148.23,65.97,77,0,2.24
Byron Bay,AU,-28.65,153.62,60.6,51,63,14.99
Moerai,PF,-22.43,-151.33,72.12,84,99,8.19
Frontignan,FR,43.45,3.75,72.66,88,0,3.36
Hasaki,JP,35.73,140.83,81.52,88,75,5.82
Pundaguitan,PH,6.37,126.17,82.4,74,97,6.78
Tazovsky,RU,67.47,78.7,50.47,67,59,11.18
Komsomol'skiy,RU,43.98,46.7,70.16,65,11,7.02
College,US,64.86,-147.8,55.67,87,90,5.82
Santiago del Estero,AR,-27.8,-64.26,57.87,41,0,10.56
Carman,CA,49.5,-98,78.1,39,20,12.75
Road Town,VG,18.42,-64.62,84.07,79,40,13.87
Mountain Home,US,43.13,-115.69,93.2,14,40,12.75
Alingsås,SE,57.93,12.53,58.66,82,75,13.87
Mitú,CO,1.2,-70.17,74.44,94,94,0.45
Guangming,CN,45.33,122.78,75.25,71,96,7.65
Prieska,ZA,-29.66,22.75,49.32,45,0,3.89
Kamenka,RU,51.32,42.77,62.53,59,18,5.99
Pochutla,MX,15.74,-96.47,82.71,78,90,4.25
Chunskiy,RU,56.08,99.63,55.81,95,20,2.24
Tabora,TZ,-5.02,32.8,60.8,72,7,4.16
Jizan,SA,17.33,42.67,80.6,83,75,13.87
São Francisco do Sul,BR,-26.24,-48.64,65.61,88,20,3.36
Kalabo,ZM,-14.97,22.68,52.5,43,0,5.39
Rossland,CA,49.08,-117.8,84,22,0,8.01
Mogadishu,SO,2.04,45.34,77.13,85,78,22.15
Cayenne,GF,4.93,-52.33,77,94,38,3.69
